"name","type","folder"
"plg_authentication_cookie","plugin","authentication"
"plg_authentication_joomla","plugin","authentication"
"plg_captcha_recaptcha_invisible","plugin","captcha"
"Content - BT Media Display","plugin","content"
"Content - imagerecycle","plugin","content"
"plg_content_confirmconsent","plugin","content"
"plg_content_contact","plugin","content"
"plg_content_emailcloak","plugin","content"
"plg_content_fields","plugin","content"
"plg_content_finder","plugin","content"
"plg_content_joomla","plugin","content"
"plg_content_loadmodule","plugin","content"
"plg_content_pagebreak","plugin","content"
"plg_editors_codemirror","plugin","editors"
"plg_editors_none","plugin","editors"
"plg_editors_tinymce","plugin","editors"
"Button - BT Media Gallery","plugin","editors-xtd"
"plg_editors-xtd_article","plugin","editors-xtd"
"plg_editors-xtd_fields","plugin","editors-xtd"
"plg_editors-xtd_image","plugin","editors-xtd"
"plg_editors-xtd_pagebreak","plugin","editors-xtd"
"plg_editors-xtd_readmore","plugin","editors-xtd"
"PLG_EDITORS-XTD_SOURCERER","plugin","editors-xtd"
"plg_extension_joomla","plugin","extension"
"plg_fields_calendar","plugin","fields"
"plg_fields_checkboxes","plugin","fields"
"plg_fields_color","plugin","fields"
"plg_fields_editor","plugin","fields"
"plg_fields_imagelist","plugin","fields"
"plg_fields_integer","plugin","fields"
"plg_fields_list","plugin","fields"
"plg_fields_media","plugin","fields"
"plg_fields_radio","plugin","fields"
"plg_fields_repeatable","plugin","fields"
"plg_fields_sql","plugin","fields"
"plg_fields_text","plugin","fields"
"plg_fields_textarea","plugin","fields"
"plg_fields_url","plugin","fields"
"plg_fields_user","plugin","fields"
"plg_fields_usergrouplist","plugin","fields"
"plg_finder_categories","plugin","finder"
"plg_finder_content","plugin","finder"
"plg_finder_newsfeeds","plugin","finder"
"plg_finder_tags","plugin","finder"
"Smart Search - BT Media Gallery","plugin","finder"
"plg_installer_packageinstaller","plugin","installer"
"plg_installer_webinstaller","plugin","installer"
"plg_privacy_actionlogs","plugin","privacy"
"plg_privacy_consents","plugin","privacy"
"plg_privacy_contact","plugin","privacy"
"plg_privacy_content","plugin","privacy"
"plg_privacy_message","plugin","privacy"
"plg_privacy_user","plugin","privacy"
"plg_quickicon_eos310","plugin","quickicon"
"plg_quickicon_extensionupdate","plugin","quickicon"
"plg_quickicon_joomlaupdate","plugin","quickicon"
"plg_quickicon_phpversioncheck","plugin","quickicon"
"plg_quickicon_privacycheck","plugin","quickicon"
"plg_search_bt_media","plugin","search"
"plg_search_categories","plugin","search"
"plg_search_content","plugin","search"
"plg_search_newsfeeds","plugin","search"
"plg_search_tags","plugin","search"
"plg_swa_viewlevels","plugin","swa"
"AcyMailing - JCE integration","plugin","system"
"AcyMailing - Joomla integration","plugin","system"
"PLG_SYS_MOOTABLE","plugin","system"
"PLG_SYSTEM_AKVERSIONCHECK","plugin","system"
"PLG_SYSTEM_BACKUPONUPDATE","plugin","system"
"plg_system_debug","plugin","system"
"plg_system_fields","plugin","system"
"PLG_SYSTEM_FMALERTCOOKIES","plugin","system"
"plg_system_highlight","plugin","system"
"plg_system_log","plugin","system"
"plg_system_logout","plugin","system"
"plg_system_logrotation","plugin","system"
"plg_system_osmylicensesmanager","plugin","system"
"plg_system_ospamanot","plugin","system"
"plg_system_privacyconsent","plugin","system"
"plg_system_redirect","plugin","system"
"PLG_SYSTEM_REGULARLABS","plugin","system"
"plg_system_remember","plugin","system"
"plg_system_sef","plugin","system"
"plg_system_sessiongc","plugin","system"
"PLG_SYSTEM_SOURCERER","plugin","system"
"plg_user_joomla","plugin","user"
"plg_user_terms","plugin","user"
"Xmap - BT Media Gallery","plugin","xmap"
